"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",3,"olivedrab"
"Arcadia",3,"olivedrab"
"B2",2,"lightblue"
"B71",2,"lightblue"
"Bd8401",2,"lightblue"
"BdBar",2,"lightblue"
"BF0072",3,"olivedrab"
"Bm88324",2,"lightblue"
"BN0019",3,"olivedrab"
"BN0119",3,"olivedrab"
"BN0123",3,"olivedrab"
"BN0202",3,"olivedrab"
"BN0252",3,"olivedrab"
"Br7",2,"lightblue"
"Br80",2,"lightblue"
"CD0065",3,"olivedrab"
"CD0142",3,"olivedrab"
"CH0043",4,"gold"
"CH0072",4,"gold"
"CH0452",3,"olivedrab"
"CH0461",4,"gold"
"CH0533",3,"olivedrab"
"CH1103",4,"gold"
"CH1164",4,"gold"
"CHRF",2,"lightblue"
"CHW",2,"lightblue"
"CM0028",3,"olivedrab"
"FR1067",2,"lightblue"
"FR1069",2,"lightblue"
"G17",2,"lightblue"
"G22",2,"lightblue"
"GFSI1-7-2",1,"tomato"
"GG11",2,"lightblue"
"GN0001",1,"tomato"
"GY0040",3,"olivedrab"
"HO",2,"lightblue"
"IA1",3,"olivedrab"
"IB33",3,"olivedrab"
"IB49",3,"olivedrab"
"IC17",3,"olivedrab"
"IE1K",3,"olivedrab"
"IN0017",3,"olivedrab"
"IN0054",3,"olivedrab"
"IN0059",3,"olivedrab"
"IN0114",3,"olivedrab"
"IN0115",3,"olivedrab"
"IN0116",3,"olivedrab"
"INA168",3,"olivedrab"
"IR00102",1,"tomato"
"IR0013",1,"tomato"
"IR0015",1,"tomato"
"IR0083",1,"tomato"
"IR0084",1,"tomato"
"IR0088",1,"tomato"
"IR0095",1,"tomato"
"IT0010",3,"olivedrab"
"JP0091",1,"tomato"
"LpKY-97-1",2,"lightblue"
"ML0060",3,"olivedrab"
"ML0062",3,"olivedrab"
"ML33",3,"olivedrab"
"NG0012",3,"olivedrab"
"NG0054",3,"olivedrab"
"NP0058",4,"gold"
"P28",2,"lightblue"
"P29",3,"olivedrab"
"P3",2,"lightblue"
"Pg1213-22",2,"lightblue"
"PgKY4OV2-1",2,"lightblue"
"PgPA18C-02",2,"lightblue"
"PH42",2,"lightblue"
"PL2-1",2,"lightblue"
"SSFL02",2,"lightblue"
"SSFL14-3",2,"lightblue"
"T25",2,"lightblue"
"TG0004",3,"olivedrab"
"TG0032",3,"olivedrab"
"TN0001",3,"olivedrab"
"TN0002",3,"olivedrab"
"TN0050",3,"olivedrab"
"TN0057",3,"olivedrab"
"TN0065",3,"olivedrab"
"TN0090",3,"olivedrab"
"TR0025",3,"olivedrab"
"US0041",3,"olivedrab"
"US0064",1,"tomato"
"VT0027",3,"olivedrab"
"VT0030",3,"olivedrab"
"Z2-1",2,"lightblue"
