"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",2,"lightblue"
"Arcadia",1,"tomato"
"B2",1,"tomato"
"B71",1,"tomato"
"Bd8401",1,"tomato"
"BdBar",1,"tomato"
"BF0072",2,"lightblue"
"Bm88324",1,"tomato"
"BN0019",2,"lightblue"
"BN0119",2,"lightblue"
"BN0123",2,"lightblue"
"BN0202",2,"lightblue"
"BN0252",2,"lightblue"
"Br7",1,"tomato"
"Br80",1,"tomato"
"CD0065",2,"lightblue"
"CD0142",2,"lightblue"
"CH0043",2,"lightblue"
"CH0072",2,"lightblue"
"CH0452",2,"lightblue"
"CH0461",2,"lightblue"
"CH0533",2,"lightblue"
"CH1103",2,"lightblue"
"CH1164",2,"lightblue"
"CHRF",1,"tomato"
"CHW",1,"tomato"
"CM0028",2,"lightblue"
"FR1067",1,"tomato"
"FR1069",1,"tomato"
"G17",1,"tomato"
"G22",1,"tomato"
"GFSI1-7-2",1,"tomato"
"GG11",1,"tomato"
"GN0001",1,"tomato"
"GY0040",2,"lightblue"
"HO",1,"tomato"
"IA1",2,"lightblue"
"IB33",2,"lightblue"
"IB49",2,"lightblue"
"IC17",2,"lightblue"
"IE1K",2,"lightblue"
"IN0017",2,"lightblue"
"IN0054",2,"lightblue"
"IN0059",2,"lightblue"
"IN0114",2,"lightblue"
"IN0115",2,"lightblue"
"IN0116",2,"lightblue"
"INA168",2,"lightblue"
"IR00102",1,"tomato"
"IR0013",1,"tomato"
"IR0015",1,"tomato"
"IR0083",1,"tomato"
"IR0084",1,"tomato"
"IR0088",1,"tomato"
"IR0095",1,"tomato"
"IT0010",2,"lightblue"
"JP0091",1,"tomato"
"LpKY-97-1",1,"tomato"
"ML0060",2,"lightblue"
"ML0062",2,"lightblue"
"ML33",2,"lightblue"
"NG0012",2,"lightblue"
"NG0054",2,"lightblue"
"NP0058",2,"lightblue"
"P28",1,"tomato"
"P29",1,"tomato"
"P3",1,"tomato"
"Pg1213-22",1,"tomato"
"PgKY4OV2-1",1,"tomato"
"PgPA18C-02",1,"tomato"
"PH42",1,"tomato"
"PL2-1",1,"tomato"
"SSFL02",1,"tomato"
"SSFL14-3",1,"tomato"
"T25",1,"tomato"
"TG0004",2,"lightblue"
"TG0032",2,"lightblue"
"TN0001",2,"lightblue"
"TN0002",2,"lightblue"
"TN0050",2,"lightblue"
"TN0057",2,"lightblue"
"TN0065",2,"lightblue"
"TN0090",2,"lightblue"
"TR0025",2,"lightblue"
"US0041",2,"lightblue"
"US0064",1,"tomato"
"VT0027",2,"lightblue"
"VT0030",2,"lightblue"
"Z2-1",1,"tomato"
