"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",2,"lightblue"
"Arcadia",5,"purple"
"B2",4,"gold"
"B71",5,"purple"
"Bd8401",5,"purple"
"BdBar",5,"purple"
"BF0072",7,"orange"
"Bm88324",4,"gold"
"BN0019",7,"orange"
"BN0119",1,"tomato"
"BN0123",1,"tomato"
"BN0202",2,"lightblue"
"BN0252",3,"olivedrab"
"Br7",5,"purple"
"Br80",5,"purple"
"CD0065",1,"tomato"
"CD0142",1,"tomato"
"CH0043",6,"cyan"
"CH0072",6,"cyan"
"CH0452",1,"tomato"
"CH0461",6,"cyan"
"CH0533",2,"lightblue"
"CH1103",6,"cyan"
"CH1164",6,"cyan"
"CHRF",4,"gold"
"CHW",5,"purple"
"CM0028",3,"olivedrab"
"FR1067",4,"gold"
"FR1069",4,"gold"
"G17",4,"gold"
"G22",4,"gold"
"GFSI1-7-2",7,"orange"
"GG11",4,"gold"
"GN0001",9,"green"
"GY0040",3,"olivedrab"
"HO",4,"gold"
"IA1",2,"lightblue"
"IB33",1,"tomato"
"IB49",1,"tomato"
"IC17",1,"tomato"
"IE1K",1,"tomato"
"IN0017",1,"tomato"
"IN0054",1,"tomato"
"IN0059",1,"tomato"
"IN0114",1,"tomato"
"IN0115",1,"tomato"
"IN0116",1,"tomato"
"INA168",2,"lightblue"
"IR00102",9,"green"
"IR0013",9,"green"
"IR0015",9,"green"
"IR0083",9,"green"
"IR0084",9,"green"
"IR0088",9,"green"
"IR0095",9,"green"
"IT0010",2,"lightblue"
"JP0091",7,"orange"
"LpKY-97-1",5,"purple"
"ML0060",3,"olivedrab"
"ML0062",1,"tomato"
"ML33",3,"olivedrab"
"NG0012",3,"olivedrab"
"NG0054",3,"olivedrab"
"NP0058",6,"cyan"
"P28",4,"gold"
"P29",1,"tomato"
"P3",5,"purple"
"Pg1213-22",5,"purple"
"PgKY4OV2-1",4,"gold"
"PgPA18C-02",4,"gold"
"PH42",5,"purple"
"PL2-1",5,"purple"
"SSFL02",4,"gold"
"SSFL14-3",4,"gold"
"T25",5,"purple"
"TG0004",1,"tomato"
"TG0032",1,"tomato"
"TN0001",8,"red"
"TN0002",8,"red"
"TN0050",1,"tomato"
"TN0057",1,"tomato"
"TN0065",8,"red"
"TN0090",8,"red"
"TR0025",2,"lightblue"
"US0041",1,"tomato"
"US0064",7,"orange"
"VT0027",3,"olivedrab"
"VT0030",3,"olivedrab"
"Z2-1",4,"gold"
