"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",2,"lightblue"
"Arcadia",2,"lightblue"
"B2",5,"purple"
"B71",5,"purple"
"Bd8401",5,"purple"
"BdBar",5,"purple"
"BF0072",4,"gold"
"Bm88324",6,"cyan"
"BN0019",4,"gold"
"BN0119",2,"lightblue"
"BN0123",2,"lightblue"
"BN0202",2,"lightblue"
"BN0252",4,"gold"
"Br7",5,"purple"
"Br80",5,"purple"
"CD0065",2,"lightblue"
"CD0142",3,"olivedrab"
"CH0043",1,"tomato"
"CH0072",1,"tomato"
"CH0452",2,"lightblue"
"CH0461",1,"tomato"
"CH0533",2,"lightblue"
"CH1103",1,"tomato"
"CH1164",1,"tomato"
"CHRF",5,"purple"
"CHW",5,"purple"
"CM0028",4,"gold"
"FR1067",5,"purple"
"FR1069",5,"purple"
"G17",5,"purple"
"G22",5,"purple"
"GFSI1-7-2",6,"cyan"
"GG11",5,"purple"
"GN0001",6,"cyan"
"GY0040",4,"gold"
"HO",5,"purple"
"IA1",2,"lightblue"
"IB33",2,"lightblue"
"IB49",3,"olivedrab"
"IC17",2,"lightblue"
"IE1K",2,"lightblue"
"IN0017",2,"lightblue"
"IN0054",2,"lightblue"
"IN0059",2,"lightblue"
"IN0114",2,"lightblue"
"IN0115",2,"lightblue"
"IN0116",2,"lightblue"
"INA168",2,"lightblue"
"IR00102",6,"cyan"
"IR0013",6,"cyan"
"IR0015",6,"cyan"
"IR0083",6,"cyan"
"IR0084",6,"cyan"
"IR0088",6,"cyan"
"IR0095",6,"cyan"
"IT0010",2,"lightblue"
"JP0091",6,"cyan"
"LpKY-97-1",5,"purple"
"ML0060",4,"gold"
"ML0062",2,"lightblue"
"ML33",4,"gold"
"NG0012",4,"gold"
"NG0054",4,"gold"
"NP0058",1,"tomato"
"P28",5,"purple"
"P29",2,"lightblue"
"P3",5,"purple"
"Pg1213-22",5,"purple"
"PgKY4OV2-1",5,"purple"
"PgPA18C-02",5,"purple"
"PH42",5,"purple"
"PL2-1",5,"purple"
"SSFL02",6,"cyan"
"SSFL14-3",5,"purple"
"T25",5,"purple"
"TG0004",2,"lightblue"
"TG0032",2,"lightblue"
"TN0001",3,"olivedrab"
"TN0002",3,"olivedrab"
"TN0050",2,"lightblue"
"TN0057",2,"lightblue"
"TN0065",3,"olivedrab"
"TN0090",3,"olivedrab"
"TR0025",2,"lightblue"
"US0041",2,"lightblue"
"US0064",6,"cyan"
"VT0027",4,"gold"
"VT0030",4,"gold"
"Z2-1",5,"purple"
